attendance_id,student_id,date,status
0,OGB/2024/0,2024-08-06,True
1,OGB/2024/0,2024-03-12,False
2,OGB/2024/0,2024-08-15,True
3,OGB/2024/0,2024-06-09,True
4,OGB/2024/0,2024-12-12,True
5,OGB/2024/0,2024-09-21,True
6,OGB/2024/0,2024-05-16,True
7,OGB/2024/0,2024-03-13,False
8,OGB/2024/0,2024-03-28,True
9,OGB/2024/0,2024-10-02,True
10,OGB/2024/0,2024-06-05,True
11,OGB/2024/0,2024-10-03,False
12,OGB/2024/0,2024-09-27,True
13,OGB/2024/0,2024-11-24,True
14,OGB/2024/0,2024-08-13,True
15,OGB/2024/0,2024-11-18,True
16,OGB/2024/0,2024-04-24,True
17,OGB/2024/0,2024-02-13,True
18,OGB/2024/0,2024-01-18,True
19,OGB/2024/0,2024-03-23,True
20,OGB/2024/0,2024-08-04,True
21,OGB/2024/0,2024-11-16,True
22,OGB/2024/0,2024-03-03,True
23,OGB/2024/0,2024-08-22,True
24,OGB/2024/0,2024-04-07,True
25,OGB/2024/0,2024-08-26,True
26,OGB/2024/0,2024-12-24,True
27,OGB/2024/0,2024-04-19,True
28,OGB/2024/0,2024-11-19,True
29,OGB/2024/0,2024-03-27,True
30,OGB/2024/0,2024-01-11,True
31,OGB/2024/0,2024-03-06,True
32,OGB/2024/0,2024-03-19,True
33,OGB/2024/0,2024-10-20,False
34,OGB/2024/0,2024-04-24,False
35,OGB/2024/0,2024-07-06,True
36,OGB/2024/0,2024-02-24,True
37,OGB/2024/0,2024-07-26,True
38,OGB/2024/0,2024-06-22,True
39,OGB/2024/0,2024-10-03,True
40,OGB/2024/0,2024-11-10,True
41,OGB/2024/0,2024-04-18,True
42,OGB/2024/0,2024-09-05,True
43,OGB/2024/0,2024-04-06,False
44,OGB/2024/0,2024-06-21,True
45,OGB/2024/0,2024-06-23,True
46,OGB/2024/0,2024-04-26,True
47,OGB/2024/0,2024-10-28,True
48,OGB/2024/0,2024-09-07,True
49,OGB/2024/0,2024-06-18,True
50,OGB/2024/0,2024-05-09,False
51,OGB/2024/0,2024-07-04,True
52,OGB/2024/0,2024-08-24,False
53,OGB/2024/0,2024-11-15,False
54,OGB/2024/0,2024-12-24,True
55,OGB/2024/0,2024-08-08,False
56,OGB/2024/0,2024-03-26,True
57,OGB/2024/0,2024-07-10,True
58,OGB/2024/0,2024-04-01,True
59,OGB/2024/0,2024-10-11,True
60,OGB/2024/0,2024-05-28,True
61,OGB/2024/0,2024-05-19,True
62,OGB/2024/0,2024-08-20,True
63,OGB/2024/0,2024-12-24,True
64,OGB/2024/0,2024-02-06,True
65,OGB/2024/0,2024-08-20,True
66,OGB/2024/0,2024-10-15,True
67,OGB/2024/0,2024-01-06,True
68,OGB/2024/0,2024-10-06,True
69,OGB/2024/0,2024-08-03,False
70,OGB/2024/1,2024-03-02,True
71,OGB/2024/1,2024-06-08,True
72,OGB/2024/1,2024-11-20,True
73,OGB/2024/1,2024-08-25,True
74,OGB/2024/1,2024-09-16,True
75,OGB/2024/1,2024-12-04,True
76,OGB/2024/1,2024-04-16,True
77,OGB/2024/1,2024-12-27,True
78,OGB/2024/1,2024-06-05,True
79,OGB/2024/1,2024-10-18,True
80,OGB/2024/1,2024-09-08,False
81,OGB/2024/1,2024-03-05,True
82,OGB/2024/1,2024-01-26,True
83,OGB/2024/1,2024-11-25,True
84,OGB/2024/1,2024-02-05,True
85,OGB/2024/1,2024-06-13,True
86,OGB/2024/1,2024-12-26,True
87,OGB/2024/1,2024-12-28,True
88,OGB/2024/1,2024-01-18,False
89,OGB/2024/1,2024-04-06,True
90,OGB/2024/1,2024-01-02,True
91,OGB/2024/1,2024-05-25,True
92,OGB/2024/1,2024-09-16,True
93,OGB/2024/1,2024-10-26,True
94,OGB/2024/1,2024-11-15,True
95,OGB/2024/1,2024-09-17,True
96,OGB/2024/1,2024-09-28,True
97,OGB/2024/1,2024-10-15,True
98,OGB/2024/1,2024-06-22,True
99,OGB/2024/1,2024-04-23,True
100,OGB/2024/1,2024-12-24,True
101,OGB/2024/1,2024-12-12,True
102,OGB/2024/1,2024-11-17,True
103,OGB/2024/1,2024-06-06,True
104,OGB/2024/1,2024-04-21,False
105,OGB/2024/1,2024-09-13,True
106,OGB/2024/1,2024-01-26,True
107,OGB/2024/1,2024-01-07,True
108,OGB/2024/1,2024-01-09,True
109,OGB/2024/1,2024-05-08,True
110,OGB/2024/1,2024-07-21,True
111,OGB/2024/1,2024-02-27,True
112,OGB/2024/1,2024-10-28,False
113,OGB/2024/1,2024-10-11,True
114,OGB/2024/1,2024-02-15,True
115,OGB/2024/1,2024-02-12,False
116,OGB/2024/1,2024-03-07,True
117,OGB/2024/1,2024-12-19,True
118,OGB/2024/1,2024-02-01,False
119,OGB/2024/1,2024-03-21,True
120,OGB/2024/1,2024-10-06,True
121,OGB/2024/1,2024-12-19,False
122,OGB/2024/1,2024-12-12,True
123,OGB/2024/1,2024-11-01,True
124,OGB/2024/1,2024-02-10,True
125,OGB/2024/1,2024-04-16,True
126,OGB/2024/1,2024-05-21,True
127,OGB/2024/1,2024-12-17,False
128,OGB/2024/1,2024-04-02,True
129,OGB/2024/1,2024-10-27,True
130,OGB/2024/1,2024-04-01,True
131,OGB/2024/1,2024-10-14,True
132,OGB/2024/1,2024-08-03,True
133,OGB/2024/1,2024-04-22,True
134,OGB/2024/1,2024-10-16,False
135,OGB/2024/1,2024-02-20,True
136,OGB/2024/1,2024-02-05,True
137,OGB/2024/1,2024-07-02,True
138,OGB/2024/1,2024-11-05,True
139,OGB/2024/1,2024-12-05,False
140,OGB/2024/2,2024-02-07,False
141,OGB/2024/2,2024-03-04,True
142,OGB/2024/2,2024-11-23,True
143,OGB/2024/2,2024-08-14,True
144,OGB/2024/2,2024-08-25,True
145,OGB/2024/2,2024-11-05,True
146,OGB/2024/2,2024-01-04,True
147,OGB/2024/2,2024-10-25,True
148,OGB/2024/2,2024-12-22,True
149,OGB/2024/2,2024-02-04,True
150,OGB/2024/2,2024-02-13,False
151,OGB/2024/2,2024-07-04,True
152,OGB/2024/2,2024-03-06,True
153,OGB/2024/2,2024-01-04,True
154,OGB/2024/2,2024-10-24,False
155,OGB/2024/2,2024-01-15,True
156,OGB/2024/2,2024-03-24,True
157,OGB/2024/2,2024-06-22,True
158,OGB/2024/2,2024-12-17,True
159,OGB/2024/2,2024-08-08,True
160,OGB/2024/2,2024-04-20,True
161,OGB/2024/2,2024-12-24,True
162,OGB/2024/2,2024-04-02,True
163,OGB/2024/2,2024-05-19,True
164,OGB/2024/2,2024-04-14,True
165,OGB/2024/2,2024-07-11,True
166,OGB/2024/2,2024-04-18,True
167,OGB/2024/2,2024-01-22,True
168,OGB/2024/2,2024-03-15,True
169,OGB/2024/2,2024-11-22,True
170,OGB/2024/2,2024-05-25,True
171,OGB/2024/2,2024-09-04,True
172,OGB/2024/2,2024-03-25,True
173,OGB/2024/2,2024-05-06,True
174,OGB/2024/2,2024-02-03,True
175,OGB/2024/2,2024-05-01,True
176,OGB/2024/2,2024-09-22,True
177,OGB/2024/2,2024-07-21,True
178,OGB/2024/2,2024-09-05,False
179,OGB/2024/2,2024-06-28,True
180,OGB/2024/2,2024-01-19,True
181,OGB/2024/2,2024-11-11,True
182,OGB/2024/2,2024-03-05,False
183,OGB/2024/2,2024-10-10,False
184,OGB/2024/2,2024-07-05,True
185,OGB/2024/2,2024-01-27,True
186,OGB/2024/2,2024-10-07,True
187,OGB/2024/2,2024-12-28,True
188,OGB/2024/2,2024-06-12,True
189,OGB/2024/2,2024-12-13,True
190,OGB/2024/2,2024-02-26,True
191,OGB/2024/2,2024-12-24,False
192,OGB/2024/2,2024-11-01,False
193,OGB/2024/2,2024-04-23,True
194,OGB/2024/2,2024-11-19,True
195,OGB/2024/2,2024-10-12,True
196,OGB/2024/2,2024-03-25,True
197,OGB/2024/2,2024-12-19,False
198,OGB/2024/2,2024-08-27,False
199,OGB/2024/2,2024-01-25,True
200,OGB/2024/2,2024-02-08,True
201,OGB/2024/2,2024-08-04,True
202,OGB/2024/2,2024-03-09,True
203,OGB/2024/2,2024-04-14,False
204,OGB/2024/2,2024-06-18,True
205,OGB/2024/2,2024-06-18,True
206,OGB/2024/2,2024-06-13,True
207,OGB/2024/2,2024-05-25,True
208,OGB/2024/2,2024-03-07,True
209,OGB/2024/2,2024-01-09,True
210,OGB/2024/3,2024-02-24,True
211,OGB/2024/3,2024-03-01,True
212,OGB/2024/3,2024-03-16,True
213,OGB/2024/3,2024-01-14,True
214,OGB/2024/3,2024-02-12,True
215,OGB/2024/3,2024-10-06,True
216,OGB/2024/3,2024-08-08,True
217,OGB/2024/3,2024-09-16,True
218,OGB/2024/3,2024-05-02,True
219,OGB/2024/3,2024-03-20,True
220,OGB/2024/3,2024-10-02,True
221,OGB/2024/3,2024-08-24,True
222,OGB/2024/3,2024-12-03,True
223,OGB/2024/3,2024-07-14,True
224,OGB/2024/3,2024-10-01,True
225,OGB/2024/3,2024-07-08,True
226,OGB/2024/3,2024-03-05,False
227,OGB/2024/3,2024-05-17,True
228,OGB/2024/3,2024-11-04,False
229,OGB/2024/3,2024-06-11,True
230,OGB/2024/3,2024-05-28,True
231,OGB/2024/3,2024-03-27,True
232,OGB/2024/3,2024-11-21,True
233,OGB/2024/3,2024-11-01,True
234,OGB/2024/3,2024-04-23,True
235,OGB/2024/3,2024-12-28,True
236,OGB/2024/3,2024-05-02,True
237,OGB/2024/3,2024-04-02,True
238,OGB/2024/3,2024-02-01,True
239,OGB/2024/3,2024-10-12,True
240,OGB/2024/3,2024-07-16,False
241,OGB/2024/3,2024-10-25,False
242,OGB/2024/3,2024-11-15,False
243,OGB/2024/3,2024-06-14,True
244,OGB/2024/3,2024-05-20,True
245,OGB/2024/3,2024-02-12,False
246,OGB/2024/3,2024-08-19,True
247,OGB/2024/3,2024-11-25,False
248,OGB/2024/3,2024-06-12,False
249,OGB/2024/3,2024-05-14,False
250,OGB/2024/3,2024-03-08,True
251,OGB/2024/3,2024-05-16,True
252,OGB/2024/3,2024-02-05,False
253,OGB/2024/3,2024-05-15,True
254,OGB/2024/3,2024-07-01,True
255,OGB/2024/3,2024-02-02,True
256,OGB/2024/3,2024-09-02,False
257,OGB/2024/3,2024-02-26,True
258,OGB/2024/3,2024-09-04,True
259,OGB/2024/3,2024-01-07,True
260,OGB/2024/3,2024-01-26,True
261,OGB/2024/3,2024-12-26,False
262,OGB/2024/3,2024-07-18,True
263,OGB/2024/3,2024-04-04,True
264,OGB/2024/3,2024-08-13,False
265,OGB/2024/3,2024-05-25,True
266,OGB/2024/3,2024-02-16,True
267,OGB/2024/3,2024-03-14,True
268,OGB/2024/3,2024-09-02,True
269,OGB/2024/3,2024-09-01,True
270,OGB/2024/3,2024-09-04,True
271,OGB/2024/3,2024-12-22,True
272,OGB/2024/3,2024-06-15,False
273,OGB/2024/3,2024-02-05,False
274,OGB/2024/3,2024-10-01,True
275,OGB/2024/3,2024-12-04,True
276,OGB/2024/3,2024-06-23,True
277,OGB/2024/3,2024-01-15,True
278,OGB/2024/3,2024-02-07,True
279,OGB/2024/3,2024-09-02,True
280,OGB/2024/4,2024-07-15,False
281,OGB/2024/4,2024-02-08,True
282,OGB/2024/4,2024-01-15,True
283,OGB/2024/4,2024-12-08,True
284,OGB/2024/4,2024-06-03,True
